Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Korea, Rep.",KOR,858.809687
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kosovo,XKX,0.339377717152794
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kuwait,KWT,0.186951458454132
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Kyrgyz Republic,KGZ,16.7373352050781
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lao PDR,LAO,2759.42553710938
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latvia,LVA,0.484535
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lebanon,LBN,742.686105697797
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lesotho,LSO,5.01154088973999
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liberia,LBR,0.518197656292429
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Libya,LBY,0.505056907794618
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Liechtenstein,LIE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lithuania,LTU,0.43844
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Luxembourg,LUX,0.851894
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Macao SAR, China",MAC,5.11785411834717
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Madagascar,MDG,941.010864257813
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malawi,MWI,221.197341918945
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malaysia,MYS,1.59425818920135
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Maldives,MDV,8.12886047363281
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mali,MLI,211.356674194336
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Malta,MLT,0.58301831766356
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Marshall Islands,MHL,0.970009338398739
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritania,MRT,11.5219329833984
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mauritius,MUS,16.6223602294922
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mexico,MEX,8.446043
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Micronesia, Fed. Sts.",FSM,0.892857731887552
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Moldova,MDA,5.4087381362915
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Monaco,MCO,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mongolia,MNG,729.222778320313
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Montenegro,MNE,0.349142444484564
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Morocco,MAR,3.99403691291809
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Mozambique,MOZ,19.8335285186768
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Myanmar,MMR,347.070587158203
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Namibia,NAM,6.41411113739014
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nauru,NRU,0.961349254415419
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nepal,NPL,31.9988098144531
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Netherlands,NLD,0.795448
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Caledonia,NCL,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Zealand,NZL,1.441008
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nicaragua,NIC,10.5936603546143
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Niger,NER,257.018951416016
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nigeria,NGA,105.373916625977
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North Macedonia,MKD,18.9586429097171
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Northern Mariana Islands,MNP,..
